工作流,修改类别,问题详细描述,BUG发现日期,BUG等级,解决方案,修改人,修改日期,修改适用范围,修改的基线版本,目标版本,备注
minas_vss,缺陷修复,修改“导入公共信道配置信息”业务中，不选择“BCH、RARCH、RRCH、BCH*、RARCH*、RRCH*”时，点击“确定”按钮后又回到主界面，无法导入配置信息的问题,,,,樊浩宇,2013-10-23,,01.01.04.05,01.01.05.01,
minas_vss,新增功能,新增“用户注销”功能,,,,樊浩宇,2013-10-23,,01.01.04.05,01.01.05.01,
minas_vss,新增功能,新增“手动锁屏”功能,,,,樊浩宇,2013-10-23,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改客户端和服务器之间没有连接状态指示的bug，当与服务器断连时，客户端提示断连，并询问是否重新登录,,,,樊浩宇,2013-10-24,,01.01.04.05,01.01.05.01,
minas_vss,新增功能,新增终端类型管理功能,,,,方平,2013-10-24,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改BTS状态查询：界面上平均功耗的单位应为“dB”,,,,方平,2013-10-24,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改关射频保护时长：“关闭射频保护时长”的范围应为：60-65535，恢复射频保护时长的范围应为：30-65535,,,,方平,2013-10-24,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改VLAN配置，建议面板上的大小写格式一致,,,,方平,2013-10-24,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改SDMA配置菜单界面问题提示范围,,,,方平,2013-10-24,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改VLAN配置最大组数目为200,,,,方平,2013-10-24,,01.01.04.05,01.01.05.01,
minas_vss,缺陷修复,修改“ACL配置”业务中，能够插入与数据库中完全相同的ACL配置信息的问题,,,,樊浩宇,2013-10-25,,01.01.05.01,01.01.05.02,
minas_vss,缺陷修复,修改WCPE中的配置信息提示问题,,,,朱晓战,2013-10-25,,01.01.05.01,01.01.05.02,
minas_vss,缺陷修复,修改了基站序列号中出现英文字符的问题,,,,朱晓战,2013-10-25,,01.01.05.01,01.01.05.02,
minas_vss,缺陷修复,修改了配置验证中关闭子窗口后焦点未能落到父窗口的问题,,,,朱晓战,2013-10-28,,01.01.05.01,01.01.05.02,
minas_vss,缺陷修复,重构了备份SAG参数配置界面，便于以后扩展,,,,贾毅,2013-10-28,,01.01.05.02,01.01.05.03,
minas_vss,缺陷修复,修改了RCEP+协议中的错误。,,,,朱晓战,2013-10-29,,01.01.05.03,01.01.05.04,
iM5000_maintain,缺陷修复,"增加同播同步的log信息,限制同时只能执行一次同播同步操作",,,,田策,2013-12-11,,01.01.05.18,01.01.05.19,
iM5000_maintain,缺陷修复,异步记录日志：为防止界面卡顿，用户操作日志采用异步方式进行记录,,,,樊浩宇,2013-12-9,,01.01.05.18,01.01.05.19,
iM5000_maintain,缺陷修复,取消日志分表，日志统一记录到xw_system_order表中,,,,樊浩宇,2013-12-9,,01.01.05.18,01.01.05.19,
iM5000_maintain,缺陷修复,修改直放站业务日志无法记录的问题,,,,樊浩宇,2013-12-10,,01.01.05.18,01.01.05.19,
